"Rank","Team","CornersTaken","Matches","Country"
1,"Barcelona",238,38,"ESP"
2,"Real Betis",217,38,"ESP"
3,"Real Madrid",211,38,"ESP"
4,"Athletic Club",209,38,"ESP"
5,"Real Sociedad",198,38,"ESP"
6,"Deportivo Alaves",187,38,"ESP"
7,"Celta Vigo",181,38,"ESP"
8,"Sevilla",180,38,"ESP"
9,"Atletico Madrid",174,38,"ESP"
9,"Villarreal",174,38,"ESP"
11,"Mallorca",173,38,"ESP"
12,"Cadiz",170,38,"ESP"
12,"Osasuna",170,38,"ESP"
14,"Rayo Vallecano",169,38,"ESP"
15,"Almeria",167,38,"ESP"
16,"Girona",159,38,"ESP"
16,"Las Palmas",159,38,"ESP"
18,"Granada",149,38,"ESP"
19,"Getafe",143,38,"ESP"
20,"Valencia",124,38,"ESP"
