"Rank","Team","PenaltiesConceded","PenaltyGoalsConceded","Matches","Country"
1,"Almeria",9,6,38,"ESP"
2,"Las Palmas",9,5,38,"ESP"
3,"Deportivo Alaves",8,8,38,"ESP"
4,"Real Betis",8,7,38,"ESP"
5,"Celta Vigo",8,6,38,"ESP"
6,"Real Sociedad",7,6,38,"ESP"
7,"Getafe",7,5,38,"ESP"
7,"Girona",7,5,38,"ESP"
9,"Villarreal",6,6,38,"ESP"
10,"Granada",6,5,38,"ESP"
11,"Valencia",6,3,38,"ESP"
12,"Sevilla",5,5,38,"ESP"
13,"Mallorca",5,4,38,"ESP"
14,"Athletic Club",5,1,38,"ESP"
15,"Barcelona",2,2,38,"ESP"
15,"Cadiz",2,2,38,"ESP"
17,"Atletico Madrid",2,1,38,"ESP"
17,"Osasuna",2,1,38,"ESP"
17,"Rayo Vallecano",2,1,38,"ESP"
20,"Real Madrid",1,1,38,"ESP"
