"Rank","Player","Team","CleanSheets","GoalsConceded","Minutes","Matches","Country"
1,"Unai Simon","Athletic Club",16,33,3184,36,"ESP"
2,"Marc-Andre ter Stegen","Barcelona",15,27,2520,28,"GER"
3,"Alex Remiro","Real Sociedad",15,36,3276,37,"ESP"
4,"Giorgi Mamardashvili","Valencia CF",13,41,3285,37,"GEO"
5,"Jan Oblak","Atlético de Madrid",13,43,3420,38,"SVN"
6,"Stole Dimitrievski","Rayo Vallecano",13,47,3330,37,"MKD"
7,"Paulo Gazzaniga","Girona",12,46,3420,38,"ARG"
8,"Andriy Lunin","Real Madrid",10,17,1890,21,"UKR"
9,"Antonio Sivera","Alavés",10,38,3060,34,"ESP"
10,"David Soria","Getafe",10,52,3414,38,"ESP"
11,"Rui Silva","Real Betis",9,36,2475,28,"POR"
12,"Predrag Rajkovic","Mallorca",9,43,3240,36,"SRB"
13,"Jeremias Ledesma","Cádiz",9,47,3049,34,"ARG"
13,"Sergio Herrera","Osasuna",9,47,2870,32,"ESP"
15,"Álvaro Vallés","Las Palmas",8,44,3264,37,"ESP"
16,"Kepa Arrizabalaga","Real Madrid",7,9,1197,14,"ESP"
17,"Ørjan Håskjold Nyland","Sevilla",6,27,2160,24,"NOR"
18,"Vicente Guaita","Celta de Vigo",6,39,2402,27,"ESP"
19,"Filip Jörgensen","Villarreal",6,63,3240,36,"DEN"
19,"Luis Maximiano","Almería",6,63,2970,33,"POR"
21,"Thibaut Courtois","Real Madrid",3,0,333,4,"BEL"
22,"Augusto Batalla","Granada CF",3,28,1530,17,"ARG"
23,"Francisco Vieites","Real Betis",2,4,315,4,"ESP"
24,"Claudio Bravo","Real Betis",2,5,630,7,"CHI"
25,"Inaki Pena","Barcelona",2,17,900,10,"ESP"
26,"Marko Dmitrovic","Sevilla",2,25,1170,13,"SRB"
27,"Dominik Greif","Mallorca",1,0,90,1,"SVK"
28,"Julen Agirrezabala","Athletic Club",1,4,236,4,"ESP"
29,"David Gil","Cádiz",1,8,371,5,"ESP"
29,"Jesus Owono","Alavés",1,8,360,4,"EQG"
