"Rank","Team","PossessionWonFinal3rdperMatch","TotalPossessionsWon","Matches","Country"
1,"Athletic Club",5.8,945,38,"ESP"
2,"Real Madrid",4.7,781,38,"ESP"
3,"Real Sociedad",4.6,856,38,"ESP"
4,"Osasuna",4.6,852,38,"ESP"
5,"Barcelona",4.5,811,38,"ESP"
6,"Atletico Madrid",4.5,801,38,"ESP"
7,"Getafe",4.4,854,38,"ESP"
8,"Rayo Vallecano",4.4,829,38,"ESP"
9,"Sevilla",4.2,782,38,"ESP"
10,"Valencia",4.2,734,38,"ESP"
11,"Las Palmas",4.1,817,38,"ESP"
12,"Villarreal",4,711,38,"ESP"
13,"Real Betis",3.9,833,38,"ESP"
14,"Celta Vigo",3.9,807,38,"ESP"
15,"Deportivo Alaves",3.9,804,38,"ESP"
16,"Cadiz",3.6,791,38,"ESP"
17,"Girona",3.6,746,38,"ESP"
18,"Granada",3.6,720,38,"ESP"
19,"Mallorca",3.3,836,38,"ESP"
20,"Almeria",3.1,718,38,"ESP"
