"Rank","Team","GoalsperMatch","TotalGoalsScored","Matches","Country"
1,"Real Madrid",2.3,87,38,"ESP"
2,"Girona",2.2,85,38,"ESP"
3,"Barcelona",2.1,79,38,"ESP"
4,"Atletico Madrid",1.8,70,38,"ESP"
5,"Villarreal",1.7,65,38,"ESP"
6,"Athletic Club",1.6,61,38,"ESP"
7,"Real Sociedad",1.3,51,38,"ESP"
8,"Real Betis",1.3,48,38,"ESP"
8,"Sevilla",1.3,48,38,"ESP"
10,"Celta Vigo",1.2,46,38,"ESP"
11,"Osasuna",1.2,45,38,"ESP"
12,"Almeria",1.1,43,38,"ESP"
13,"Getafe",1.1,42,38,"ESP"
14,"Valencia",1.1,40,38,"ESP"
15,"Granada",1,38,38,"ESP"
16,"Deportivo Alaves",0.9,36,38,"ESP"
17,"Las Palmas",0.9,33,38,"ESP"
17,"Mallorca",0.9,33,38,"ESP"
19,"Rayo Vallecano",0.8,29,38,"ESP"
20,"Cadiz",0.7,26,38,"ESP"
