"Rank","Team","RedCards","YellowCards","Matches","Country"
1,"Getafe",9,126,38,"ESP"
2,"Villarreal",8,102,38,"ESP"
3,"Cadiz",7,106,38,"ESP"
4,"Almeria",6,85,38,"ESP"
5,"Rayo Vallecano",5,101,38,"ESP"
6,"Atletico Madrid",5,82,38,"ESP"
7,"Las Palmas",5,80,38,"ESP"
8,"Osasuna",5,76,38,"ESP"
9,"Athletic Club",5,75,38,"ESP"
10,"Celta Vigo",5,62,38,"ESP"
11,"Valencia",5,60,38,"ESP"
12,"Sevilla",4,108,38,"ESP"
13,"Granada",4,96,38,"ESP"
14,"Real Madrid",4,67,38,"ESP"
15,"Mallorca",3,102,38,"ESP"
16,"Real Betis",3,85,38,"ESP"
17,"Real Sociedad",2,98,38,"ESP"
18,"Barcelona",2,85,38,"ESP"
19,"Deportivo Alaves",1,84,38,"ESP"
20,"Girona",1,75,38,"ESP"
